citrus fruit,semi-finished bread,margarine,ready soups
tropical fruit,yogurt,coffee,
whole milk,,,
pip fruit,yogurt,cream cheese,meat spreads
other vegetables,whole milk,condensed milk,long life bakery product
whole milk,butter,yogurt,rice
rolls/buns,,,
other vegetables,UHT-milk,rolls/buns,bottled beer
potted plants,,,
whole milk,cereals,,
tropical fruit,other vegetables,white bread,bottled water
citrus fruit,tropical fruit,whole milk,butter
beef,,,
frankfurter,rolls/buns,soda,
chicken,tropical fruit,,
butter,sugar,fruit/vegetable juice,newspapers
fruit/vegetable juice,,,
packaged fruit/vegetables,,,
chocolate,,,
specialty bar,,,
other vegetables,,,
butter milk,pastry,,
whole milk,,,
tropical fruit,cream cheese,processed cheese,detergent
tropical fruit,root vegetables,other vegetables,frozen dessert
bottled water,canned beer,,
yogurt,,,
sausage,rolls/buns,soda,chocolate
other vegetables,,,
brown bread,soda,fruit/vegetable juice,canned beer
yogurt,beverages,bottled water,specialty bar
hamburger meat,other vegetables,rolls/buns,spices
root vegetables,other vegetables,whole milk,beverages
pork,berries,other vegetables,whole milk
beef,grapes,detergent,
pastry,soda,,
fruit/vegetable juice,,,
canned beer,,,
root vegetables,other vegetables,whole milk,dessert
citrus fruit,zwieback,newspapers,
sausage,rolls/buns,soda,canned beer
tropical fruit,root vegetables,whole milk,yogurt
berries,yogurt,,
canned beer,,,
butter milk,yogurt,cream cheese,spread cheese
coffee,,,
pastry,bottled water,,
rolls/buns,,,
misc. beverages,,,
root vegetables,other vegetables,butter,curd
sausage,rolls/buns,cat food,newspapers
canned beer,,,
ham,grapes,other vegetables,whole milk
turkey,tropical fruit,other vegetables,curd
whole milk,yogurt,processed cheese,pickled vegetables
whole milk,curd,yogurt,pastry
packaged fruit/vegetables,brown bread,canned beer,
rolls/buns,oil,bottled water,chewing gum
ham,beef,whipped/sour cream,ice cream
rolls/buns,pastry,sugar,
other vegetables,whole milk,frozen vegetables,canned fish
sausage,pastry,,
sausage,beef,whole milk,
frankfurter,tropical fruit,rolls/buns,brown bread
rolls/buns,pastry,soda,
whole milk,,,
curd cheese,coffee,,
red/blush wine,newspapers,,
sausage,whole milk,curd,
tropical fruit,pip fruit,berries,whole milk
red/blush wine,,,
whole milk,butter,margarine,specialty fat
frankfurter,citrus fruit,whole milk,domestic eggs
whole milk,meat spreads,soda,
frozen potato products,,,
other vegetables,whole milk,rolls/buns,sugar
citrus fruit,whole milk,curd,butter milk
flour,salt,bottled water,fruit/vegetable juice
sugar,bottled water,soda,bottled beer
frozen meals,coffee,,
chocolate,,,
root vegetables,whole milk,frozen vegetables,domestic eggs
root vegetables,onions,hard cheese,frozen vegetables
herbs,condensed milk,frozen vegetables,salt
bottled water,,,
sausage,root vegetables,onions,yogurt
coffee,newspapers,,
pork,other vegetables,whipped/sour cream,
berries,yogurt,,
soda,,,
berries,,,
fruit/vegetable juice,salty snack,candles,
citrus fruit,butter milk,yogurt,cream cheese
pork,hamburger meat,citrus fruit,berries
detergent,,,
grapes,photo/film,,
sausage,sliced cheese,rolls/buns,brown bread
chicken,hamburger meat,citrus fruit,tropical fruit
whole milk,yogurt,brown bread,
citrus fruit,tropical fruit,,
soda,misc. beverages,,
sausage,pork,grapes,whole milk
frankfurter,rolls/buns,bottled water,
sausage,whole milk,yogurt,coffee
soda,,,
rolls/buns,fruit/vegetable juice,,
beef,citrus fruit,berries,root vegetables
whole milk,whipped/sour cream,rolls/buns,soda
processed cheese,,,
tropical fruit,pip fruit,,
frankfurter,sausage,root vegetables,other vegetables
packaged fruit/vegetables,bottled water,,
whole milk,dessert,frozen vegetables,rolls/buns
berries,whipped/sour cream,,
citrus fruit,berries,UHT-milk,processed cheese
tropical fruit,whole milk,yogurt,
hamburger meat,whole milk,frozen vegetables,rolls/buns
hamburger meat,other vegetables,whole milk,frozen vegetables
whole milk,cream cheese,soda,
fish,other vegetables,pastry,margarine
frankfurter,sausage,long life bakery product,waffles
packaged fruit/vegetables,dessert,semi-finished bread,canned beer
pastry,soda,,
other vegetables,red/blush wine,,
misc. beverages,,,
frankfurter,sausage,citrus fruit,tropical fruit
sparkling wine,,,
specialty bar,,,
sausage,butter milk,rolls/buns,
curd cheese,,,
frankfurter,dessert,,
whole milk,yogurt,beverages,brown bread
newspapers,,,
berries,soda,,
curd,flour,liquor (appetizer),
tropical fruit,other vegetables,coffee,
soda,,,
rolls/buns,Instant food products,,
canned beer,,,
canned beer,,,
frankfurter,sausage,whole milk,rolls/buns
other vegetables,misc. beverages,canned beer,
whole milk,frozen vegetables,,
whole milk,,,
citrus fruit,butter,cream cheese,white bread
frankfurter,rolls/buns,,
frankfurter,ham,pip fruit,other vegetables
butter milk,yogurt,honey,soda
hamburger meat,citrus fruit,onions,rolls/buns
pasta,popcorn,,
other vegetables,whole milk,meat spreads,cake bar
sausage,pork,citrus fruit,dessert
rolls/buns,,,
grapes,other vegetables,curd,dessert
root vegetables,other vegetables,whole milk,yogurt
coffee,shopping bags,,
popcorn,,,
whole milk,rolls/buns,sugar,bottled water
tropical fruit,other vegetables,packaged fruit/vegetables,whole milk
beef,herbs,flour,cling film/bags
whole milk,butter,dessert,rolls/buns
frankfurter,soda,chewing gum,
